stage,stage_name,production_days,worker_days,missing_days,total_ms,mean_ms,peak_ms,total_work
0,PASS_A,0,3,0,0.521,0.173667,0.223,7200
1,PASS_B,0,3,0,0.169,0.056333,0.085,7200
2,OCEAN_WATER,0,0,0,0.0,0.0,0.0,0
3,OCEAN_LAND,0,0,0,0.0,0.0,0.0,0
4,WIND_AIR,0,3,0,0.006,0.002,0.002,7200
5,WIND_SURFACE,0,3,0,0.067,0.022333,0.028,7200
6,SEA_ICE,0,3,0,0.1,0.033333,0.038,7200
7,TRANSPIRATION,0,3,0,0.011,0.003667,0.004,7200
8,ALBEDO,1,1,0,0.0041,0.0041,0.0041,2400
9,VEGETATION_DYNAMICS,1,1,0,0.5692,0.5692,0.5692,2400
10,CLIMATE_FEEDBACK,1,1,0,0.0118,0.0118,0.0118,2400
11,WEATHER,3,3,0,1.5503,0.516767,0.6429,43200
12,RUNTIME_HYDROLOGY,3,3,0,0.4104,0.1368,0.1479,79200
13,STAGE_B_AFTER_HYDROLOGY,0,0,0,0.0,0.0,0.0,0
