stage,stage_name,field,map_data_array,comparable,compared_days,diverged_days,diverged_cells,first_diverged_day,first_cell,max_abs_delta,first_reference,first_worker,note
10,CLIMATE_FEEDBACK,temperature,temp_arr,true,15,1,354,7,156,0.03971684,0.00816244446,0.0121935047,
0,PASS_A,temperature_30d_ema,temp_30d_arr,true,15,0,0,-1,0,0.0,,,
0,PASS_A,temperature_365d_ema,temp_365d_arr,true,15,0,0,-1,0,0.0,,,
0,PASS_A,temperature_baseline,temp_baseline_arr,true,15,0,0,-1,0,0.0,,,
0,PASS_A,thermal_energy,thermal_energy_arr,true,15,0,0,-1,0,0.0,,,
10,CLIMATE_FEEDBACK,moisture,moisture_arr,true,15,0,0,-1,0,0.0,,,
12,RUNTIME_HYDROLOGY,plant_available_water,plant_available_water_arr,true,15,1,665,7,95,0.000005424,0.56611532,0.56611526,
12,RUNTIME_HYDROLOGY,water_balance_30d,water_balance_30d_arr,true,15,1,1150,7,95,0.000015601,-7.28528248e-05,-7.31260225e-05,
11,WEATHER,weather_precipitation,weather_precip_arr,true,15,1,7,7,2201,0.033970576,0.0334734172,0,
11,WEATHER,weather_intensity,weather_intensity_arr,true,15,1,7,7,2201,0.046828236,0.0463390201,0,
11,WEATHER,vapor,weather_vapor_arr,true,15,1,2400,7,0,0.150000017,0.125371307,0.00263264752,
11,WEATHER,cloud_water,weather_cloud_water_arr,true,15,1,1784,7,0,0.076617474,0.0245540142,0,
11,WEATHER,cloud_cover,weather_cloud_arr,true,15,1,1797,7,0,0.162322216,0.0888000056,0,
4,WIND_AIR,convergence,weather_convergence_arr,true,15,0,0,-1,0,0.0,,,
11,WEATHER,instability,weather_instability_arr,true,15,1,1807,7,18,0.240330964,0.12307401,0,
11,WEATHER,weather_type,weather_type_arr,true,15,0,0,-1,0,0.0,,,
11,WEATHER,weather_prev_type,weather_prev_type_arr,true,15,0,0,-1,0,0.0,,,
11,WEATHER,weather_target_type,weather_target_type_arr,true,15,1,7,7,2201,3.0,3,0,
11,WEATHER,weather_transition_alpha,weather_transition_alpha_arr,true,15,1,7,7,2201,0.349999994,0.349999994,0,
11,WEATHER,snow_cover,snow_cover_arr,true,15,1,48,7,245,0.510448068,0.131383777,0.00166292547,
11,WEATHER,snowpack,snowpack_arr,true,15,1,48,7,245,0.163343374,0.0420428067,0.000532136124,
6,SEA_ICE,sea_ice,sea_ice_frac_arr,true,15,1,3,7,197,0.050576925,0.0738067478,0.0232298225,
12,RUNTIME_HYDROLOGY,runoff,surface_runoff_arr,true,15,0,0,-1,0,0.0,,,
12,RUNTIME_HYDROLOGY,groundwater,groundwater_storage_arr,true,15,0,0,-1,0,0.0,,,
12,RUNTIME_HYDROLOGY,river_storage,river_storage_arr,true,15,0,0,-1,0,0.0,,,
12,RUNTIME_HYDROLOGY,river_discharge,river_discharge_arr,true,15,0,0,-1,0,0.0,,,
12,RUNTIME_HYDROLOGY,riparian_moisture,riparian_moisture_arr,false,0,0,0,-1,0,0.0,,,map_data.gd declares no riparian_moisture_arr
9,VEGETATION_DYNAMICS,vegetation_vitality,vegetation_vitality_arr,true,15,0,0,-1,0,0.0,,,
7,TRANSPIRATION,vegetation_growth_pressure,vegetation_growth_pressure_arr,true,15,0,0,-1,0,0.0,,,
9,VEGETATION_DYNAMICS,vegetation_heat_stress,vegetation_heat_stress_arr,true,15,0,0,-1,0,0.0,,,
9,VEGETATION_DYNAMICS,vegetation_drought_stress,vegetation_drought_stress_arr,true,15,0,0,-1,0,0.0,,,
9,VEGETATION_DYNAMICS,vegetation_cold_stress,vegetation_cold_stress_arr,true,15,0,0,-1,0,0.0,,,
9,VEGETATION_DYNAMICS,vegetation_growth_streak,vitality_high_streak_arr,true,15,0,0,-1,0,0.0,,,
9,VEGETATION_DYNAMICS,vegetation_drought_streak,vitality_low_streak_arr,true,15,0,0,-1,0,0.0,,,
9,VEGETATION_DYNAMICS,vegetation_succession_candidate,vegetation_regen_score_arr,false,0,0,0,-1,0,0.0,,,store is a uint8 flag but vegetation_regen_score_arr is a float score
