stage,stage_name,production_days,worker_days,missing_days,total_ms,mean_ms,peak_ms,total_work
0,PASS_A,0,3,0,0.576,0.192,0.251,7200
1,PASS_B,0,3,0,0.226,0.075333,0.093,7200
2,OCEAN_WATER,0,0,0,0.0,0.0,0.0,0
3,OCEAN_LAND,0,0,0,0.0,0.0,0.0,0
4,WIND_AIR,0,3,0,0.01,0.003333,0.005,7200
5,WIND_SURFACE,0,3,0,0.111,0.037,0.057,7200
6,SEA_ICE,0,3,0,0.14,0.046667,0.061,7200
7,TRANSPIRATION,0,3,0,0.051,0.017,0.041,7200
8,ALBEDO,1,1,0,0.0051,0.0051,0.0051,2400
9,VEGETATION_DYNAMICS,1,1,0,0.7022,0.7022,0.7022,2400
10,CLIMATE_FEEDBACK,1,1,0,0.0246,0.0246,0.0246,2400
11,WEATHER,3,3,0,0.1618,0.053933,0.0627,57600
12,RUNTIME_HYDROLOGY,3,3,0,0.5018,0.167267,0.2208,79200
13,STAGE_B_AFTER_HYDROLOGY,0,0,0,0.0,0.0,0.0,0
