stage,stage_name,production_days,worker_days,missing_days,total_ms,mean_ms,peak_ms,total_work
0,PASS_A,0,3,0,0.403,0.134333,0.147,7200
1,PASS_B,0,3,0,0.126,0.042,0.048,7200
2,OCEAN_WATER,0,0,0,0.0,0.0,0.0,0
3,OCEAN_LAND,0,0,0,0.0,0.0,0.0,0
4,WIND_AIR,0,3,0,0.007,0.002333,0.003,7200
5,WIND_SURFACE,0,3,0,0.055,0.018333,0.019,7200
6,SEA_ICE,0,3,0,0.09,0.03,0.034,7200
7,TRANSPIRATION,0,3,0,0.01,0.003333,0.004,7200
8,ALBEDO,1,1,0,0.0032,0.0032,0.0032,2400
9,VEGETATION_DYNAMICS,1,1,0,0.3908,0.3908,0.3908,2400
10,CLIMATE_FEEDBACK,1,1,0,0.009,0.009,0.009,2400
11,WEATHER,3,3,0,1.4371,0.479033,0.5987,43200
12,RUNTIME_HYDROLOGY,3,0,3,0.0,0.0,0.0,0
13,STAGE_B_AFTER_HYDROLOGY,0,0,0,0.0,0.0,0.0,0
