stage,stage_name,field,map_data_array,comparable,compared_days,diverged_days,diverged_cells,first_diverged_day,first_cell,max_abs_delta,first_reference,first_worker,note
10,CLIMATE_FEEDBACK,temperature,temp_arr,true,30,4,9003,2,60,0.174999952,0.0228064526,0.0266841967,
0,PASS_A,temperature_30d_ema,temp_30d_arr,true,30,0,0,-1,0,0.0,,,
0,PASS_A,temperature_365d_ema,temp_365d_arr,true,30,1,2268,2,60,0.002305835,0.0266809072,0.0266441703,
0,PASS_A,temperature_baseline,temp_baseline_arr,true,30,0,0,-1,0,0.0,,,
0,PASS_A,thermal_energy,thermal_energy_arr,true,30,1,2268,2,60,0.075369775,0.0254834071,0.0266841967,
13,STAGE_B_AFTER_HYDROLOGY,moisture,moisture_arr,true,30,4,4753,2,95,0.782491356,0.572649539,0.570820272,
12,RUNTIME_HYDROLOGY,plant_available_water,plant_available_water_arr,true,30,2,1944,18,95,0.642824471,0.576043427,0.56611532,
12,RUNTIME_HYDROLOGY,water_balance_30d,water_balance_30d_arr,true,30,4,6060,2,0,1.0,0,1,
11,WEATHER,weather_precipitation,weather_precip_arr,true,30,3,1638,7,2201,0.121561438,0.0334734172,0,
11,WEATHER,weather_intensity,weather_intensity_arr,true,30,3,1646,7,2201,0.869147182,0.0463390201,0,
11,WEATHER,vapor,weather_vapor_arr,true,30,3,7200,7,0,0.216720968,0.125371307,0,
11,WEATHER,cloud_water,weather_cloud_water_arr,true,30,3,6584,7,0,0.097148836,0.0245540142,0,
11,WEATHER,cloud_cover,weather_cloud_arr,true,30,3,6597,7,0,0.364813667,0.0888000056,0,
4,WIND_AIR,convergence,weather_convergence_arr,true,30,1,2372,18,0,0.8465572,0.141372502,0,
11,WEATHER,instability,weather_instability_arr,true,30,3,6461,7,18,1.0,0.12307401,0,
11,WEATHER,weather_type,weather_type_arr,true,30,2,1247,18,19,7.0,3,0,
11,WEATHER,weather_transition,weather_transition_alpha_arr,false,0,0,0,-1,0,0.0,,,store is uint8 but weather_transition_alpha_arr is PackedFloat32Array
6,SEA_ICE,snow_cover,snow_cover_arr,true,30,3,308,7,95,1.0,1,0,
12,RUNTIME_HYDROLOGY,snowpack,snowpack_arr,true,30,4,347,2,461,0.800000012,0.800000012,0,
6,SEA_ICE,sea_ice,sea_ice_frac_arr,true,30,3,1171,7,0,0.980097771,0.884219587,0.560000002,
12,RUNTIME_HYDROLOGY,runoff,surface_runoff_arr,true,30,3,1902,7,366,1.049624085,0.00902711879,0,
12,RUNTIME_HYDROLOGY,groundwater,groundwater_storage_arr,true,30,3,1312,7,366,0.213095278,0.00260926923,0,
12,RUNTIME_HYDROLOGY,river_storage,river_storage_arr,true,30,3,2067,7,0,11.560600281,0.0139370784,0,
12,RUNTIME_HYDROLOGY,river_discharge,river_discharge_arr,true,30,3,2238,7,0,83.53276062,0.0874618217,0,
12,RUNTIME_HYDROLOGY,riparian_moisture,riparian_moisture_arr,false,0,0,0,-1,0,0.0,,,map_data.gd declares no riparian_moisture_arr
9,VEGETATION_DYNAMICS,vegetation_vitality,vegetation_vitality_arr,true,30,1,2400,2,0,0.5,0,0.5,
7,TRANSPIRATION,vegetation_growth_pressure,vegetation_growth_pressure_arr,true,30,1,1164,28,95,0.399401486,-0.0291056633,-0.0582113266,
9,VEGETATION_DYNAMICS,vegetation_heat_stress,vegetation_heat_stress_arr,true,30,0,0,-1,0,0.0,,,
9,VEGETATION_DYNAMICS,vegetation_drought_stress,vegetation_drought_stress_arr,true,30,0,0,-1,0,0.0,,,
9,VEGETATION_DYNAMICS,vegetation_cold_stress,vegetation_cold_stress_arr,true,30,0,0,-1,0,0.0,,,
9,VEGETATION_DYNAMICS,vegetation_growth_streak,vitality_high_streak_arr,true,30,0,0,-1,0,0.0,,,
9,VEGETATION_DYNAMICS,vegetation_drought_streak,vitality_low_streak_arr,true,30,0,0,-1,0,0.0,,,
9,VEGETATION_DYNAMICS,vegetation_succession_candidate,vegetation_regen_score_arr,false,0,0,0,-1,0,0.0,,,store is a uint8 flag but vegetation_regen_score_arr is a float score
