stage,stage_name,production_days,worker_days,missing_days,total_ms,mean_ms,peak_ms,total_work
0,PASS_A,0,6,0,1.264,0.210667,0.364,14400
1,PASS_B,0,6,0,0.694,0.115667,0.199,14400
2,OCEAN_WATER,0,6,0,0.507,0.0845,0.121,14400
3,OCEAN_LAND,0,6,0,0.13,0.021667,0.027,14400
4,WIND_AIR,0,6,0,0.749,0.124833,0.174,14400
5,WIND_SURFACE,0,6,0,0.65,0.108333,0.144,14400
6,SEA_ICE,0,6,0,0.346,0.057667,0.072,14400
7,TRANSPIRATION,0,6,0,0.128,0.021333,0.03,14400
8,ALBEDO,1,1,0,0.0032,0.0032,0.0032,2400
9,VEGETATION_DYNAMICS,1,1,0,0.4328,0.4328,0.4328,2400
10,CLIMATE_FEEDBACK,1,1,0,0.0112,0.0112,0.0112,2400
11,WEATHER,6,6,0,0.3366,0.0561,0.0768,115200
12,RUNTIME_HYDROLOGY,6,6,0,1.1043,0.18405,0.2358,158400
13,STAGE_B_AFTER_HYDROLOGY,0,0,0,0.0,0.0,0.0,0
